Price,Close,High,Low,Open,Volume
Ticker,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
Date,,,,,
2015-01-01,294.0238037109375,294.9835620959319,292.27118073490067,294.35761931525803,2583280
2015-01-02,302.36968994140625,303.37119294572136,293.77346749454347,293.77346749454347,8272990
2015-01-05,302.9956359863281,306.6260882526367,301.7020336427162,304.87346481882616,10316090
2015-01-06,290.14300537109375,300.3666733415237,288.93286412167333,299.94936876426493,13282427
2015-01-07,282.2979431152344,288.9746205119431,279.961121435418,288.4321385473316,21254332
2015-01-08,289.97613525390625,290.852432913132,284.7599817022095,287.93138468286804,12558144
2015-01-09,285.302490234375,292.43816161299736,281.33822213149034,292.0626014360396,15701030
2015-01-12,289.2250061035156,290.1013318371867,282.67353339452285,286.05360291287326,8304115
2015-01-13,284.5096435546875,291.2697832039729,283.5498848226717,291.2697832039729,13100848
2015-01-14,281.1712951660156,285.26074058149,277.9164030029162,283.1325569452304,13127934
2015-01-15,294.48291015625,297.1118313751533,290.05962097968586,293.8986836503855,16662989
2015-01-16,295.31744384765625,295.943386709151,289.97611332469603,294.48286270447,14726646
2015-01-19,301.1178283691406,301.952409603704,295.0253769519012,296.69453942102786,10277015
2015-01-20,306.9181213378906,308.1700069564,300.199728286915,300.199728286915,11477610
2015-01-21,307.5024108886719,309.5888499930336,304.7482843751477,305.87496485347384,12457852
2015-01-22,308.62908935546875,310.7155564626553,304.2892613063164,307.8779690414802,9320935
2015-01-23,309.38018798828125,313.3862000707128,307.7110256260753,312.8854345521981,13525550
2015-01-27,320.06280517578125,321.14776896582305,311.04930725552526,312.551575586513,13932787
2015-01-28,320.5218811035156,328.3252392172344,318.4771585434371,319.6038389724899,14787690
2015-01-29,317.3922119140625,320.3132603117763,313.42794395277554,317.22529005994903,22085259
2015-01-30,301.0343322753906,318.81097493258864,295.98510098713126,318.35195390638324,31372235
2015-02-02,293.64825439453125,301.0343066341591,292.10426961673073,300.7004630012019,37165959
2015-02-03,289.2667541503906,297.77951674321037,288.014868234368,293.77350422507766,25975650
2015-02-04,287.6393127441406,289.8092408961819,283.96714388156306,288.8077377503494,15639435
2015-02-05,280.0863037109375,288.1817608378135,277.7077375218048,284.5095924077731,18771838
2015-02-06,274.8701477050781,283.7584694839102,273.4930845567076,280.4201447665591,17811770
2015-02-09,267.1085205078125,273.3261485712576,265.81489032954966,273.3261485712576,15330887
2015-02-10,276.2889404296875,279.5855205013568,264.06226657609113,265.8148897598776,31301276
2015-02-11,279.3351745605469,283.71671864964827,278.7092316859836,278.8344090543279,13732188
2015-02-12,283.049072265625,284.8851565061998,275.4126360862202,282.2562355358272,14372362
2015-02-13,286.97161865234375,288.6825254898821,283.9253931259545,287.0967960242918,9926537
2015-02-16,282.13104248046875,289.55884068903987,280.7539792398307,289.55884068903987,11084024
2015-02-18,285.76153564453125,287.09685460585143,283.5081463747157,283.5081463747157,8830098
2015-02-19,282.54833984375,286.9716286818456,277.29044177542636,283.8419421259695,10326464
2015-02-20,276.20550537109375,280.25323405738095,274.1607547849106,279.585546674257,17197010
2015-02-23,274.5780334472656,279.16824369028006,272.908871180064,277.91635798166885,12236793
2015-02-24,272.1160888671875,276.5811230975057,270.8224863177027,274.9953932488748,12177664
2015-02-25,269.15325927734375,276.24721337466985,268.11001178133404,273.40962613245506,18029910
2015-02-26,268.1517639160156,271.6152941515722,267.1919773129038,270.98935123935536,18356309
2015-02-27,279.7942199707031,281.2964605873685,269.5705508339693,270.9058976171122,17157486
2015-03-02,291.3114929199219,293.7318039565214,284.2175377098344,292.8137617052244,16237130
2015-03-03,290.9776611328125,291.68703700314626,287.18028692898514,290.4351791036943,16309976
2015-03-04,291.5618896484375,302.11937604269497,288.80776276297905,300.4502133272221,27007377
2015-03-05,290.22650146484375,292.0208693399215,283.84195078206443,289.0998209943104,12677758
2015-03-09,277.74945068359375,286.22049585994233,276.87315305485373,285.4276311341497,13711772
2015-03-10,278.4588623046875,281.9223924982172,275.70473593749034,277.66602557306607,15690129
2015-03-11,277.6242980957031,281.2130058832314,274.57807232428746,278.4171628922732,11762499
2015-03-12,282.2562561035156,283.5081139846786,279.29346321474947,281.71377408232286,12265104
2015-03-13,275.5795593261719,288.76596474669145,274.5780562792888,287.9313835436926,14368069
2015-03-16,276.6228332519531,277.9164357719415,271.7822389090246,274.99538697851176,12496540
2015-03-17,279.46038818359375,280.83745147971257,275.5378366083516,277.0818217615317,11214858
2015-03-18,279.4186706542969,280.87919487333653,276.28898390390464,277.9998628911501,9603665
2015-03-19,275.5795593261719,284.9269024194657,274.0355742948762,283.3411729189878,15488184
2015-03-20,265.89837646484375,274.7866986266941,264.3126749574126,274.49459940380183,23389273
2015-03-23,261.89239501953125,269.06981035730195,260.7656865529336,268.77771113130365,11517028
2015-03-24,260.30670166015625,264.27099804654034,258.2619787775389,259.1383045937617,18209548
2015-03-25,264.4795837402344,266.2322070074426,259.63899051743874,260.3901107724678,15109255
2015-03-26,257.01007080078125,261.8089195777983,252.54503768507044,259.55553078597956,34971712
2015-03-27,262.518310546875,263.89537362552716,257.2604129618977,261.22468036715327,17383920
2015-03-30,265.9817810058594,266.6494682497043,261.51677665293863,263.9787753071581,14140124
2015-03-31,263.3111877441406,269.361922931582,261.8924079976598,266.1487752535267,14317689
2015-04-01,269.69573974609375,270.7389592198593,262.1010201691296,262.8938848997012,9190830
2015-04-06,268.11004638671875,271.61532144406607,266.5243447284779,271.61532144406607,10512775
2015-04-07,264.8968811035156,269.9461130119007,262.89390293842007,269.5288364003313,9849292
2015-04-08,262.977294921875,266.8163564108438,262.5182739596315,266.1486971975122,9158573
2015-04-09,267.56756591796875,268.6525018823352,264.4795958213267,265.39763795639084,13516230
2015-04-10,265.64801025390625,268.4438530021145,264.7299681550287,266.64951327235644,9053218
2015-04-13,264.4795837402344,266.9833272624716,263.72846348520534,266.9833272624716,8810668
2015-04-15,262.8938903808594,268.9863415435755,261.26644443405985,265.68973319738166,11297754
2015-04-16,260.80743408203125,263.72848240911935,258.8461723846777,263.64502148408053,9682703
2015-04-17,258.804443359375,262.8521723914201,257.26045817864724,262.1010520376674,11639567
2015-04-20,259.6807556152344,265.0638032148738,257.3021892743989,261.1412797900079,11663690
2015-04-21,259.43035888671875,264.2292077649489,258.67923861241104,259.55553626029604,9953639
2015-04-22,261.1830139160156,262.8939209835889,253.21273311386653,261.4333967099978,12256206
2015-04-23,260.2649230957031,263.64499212590556,258.51229989789823,262.2679290407431,10352840
2015-04-24,257.2604064941406,260.8491136983059,256.30064801636985,260.76565278505376,13482295
2015-04-27,252.29461669921875,260.76563258203004,247.62094600129114,259.30513675431877,24819034
2015-04-28,272.7836608886719,274.24418485028576,255.0487630901851,255.0487630901851,37447522
2015-04-29,275.5378112792969,279.41864604173685,271.3231608498452,273.57654968017874,24501414
2015-04-30,276.3724060058594,278.41715664239257,271.406635061922,276.24722862665254,20787994
2015-05-04,274.8284606933594,281.1712951456292,272.24122794220204,277.7077646696871,11308400
